,Humidity_High,Humidity_Avg,Humidity_Low,Region
24/05/2023,89.0,78.0,56.0,East
25/05/2023,88.0,80.0,67.0,East
26/05/2023,93.0,84.0,74.0,East
27/05/2023,92.0,83.0,72.0,East
28/05/2023,93.0,81.0,65.0,East
29/05/2023,99.0,80.0,61.0,East
30/05/2023,88.0,82.0,65.0,East
31/05/2023,89.0,80.0,65.0,East
01/06/2023,98.0,87.0,81.0,East
02/06/2023,87.0,81.0,67.0,East
03/06/2023,96.0,87.0,76.0,East
04/06/2023,99.0,89.0,76.0,East
05/06/2023,91.0,79.0,52.0,East
06/06/2023,98.0,86.0,75.0,East
07/06/2023,89.0,83.0,73.0,East
08/06/2023,89.0,81.0,68.0,East
09/06/2023,87.0,79.0,63.0,East
10/06/2023,88.0,79.0,62.0,East
11/06/2023,86.0,80.0,67.0,East
12/06/2023,97.0,88.0,82.0,East
13/06/2023,93.0,85.0,71.0,East
14/06/2023,90.0,84.0,76.0,East
15/06/2023,91.0,83.0,69.0,East
16/06/2023,88.0,79.0,57.0,East
17/06/2023,89.0,81.0,66.0,East
18/06/2023,92.0,85.0,70.0,East
19/06/2023,90.0,83.0,68.0,East
20/06/2023,88.0,83.0,69.0,East
21/06/2023,87.0,80.0,64.0,East
22/06/2023,87.0,80.0,62.0,East
23/06/2023,87.0,80.0,63.0,East
24/06/2023,86.0,79.0,69.0,East
25/06/2023,89.0,79.0,67.0,East
26/06/2023,91.0,79.0,68.0,East
27/06/2023,99.0,84.0,71.0,East
28/06/2023,95.0,85.0,73.0,East
29/06/2023,89.0,81.0,67.0,East
30/06/2023,94.0,84.0,77.0,East
01/07/2023,94.0,84.0,72.0,East
02/07/2023,87.0,81.0,69.0,East
03/07/2023,90.0,85.0,71.0,East
04/07/2023,90.0,80.0,57.0,East
05/07/2023,88.0,83.0,72.0,East
06/07/2023,93.0,84.0,69.0,East
07/07/2023,92.0,84.0,72.0,East
08/07/2023,89.0,82.0,69.0,East
09/07/2023,97.0,86.0,71.0,East
10/07/2023,96.0,86.0,66.0,East
11/07/2023,96.0,91.0,84.0,East
12/07/2023,95.0,85.0,62.0,East
13/07/2023,89.0,79.0,58.0,East
14/07/2023,99.0,90.0,82.0,East
15/07/2023,97.0,86.0,74.0,East
16/07/2023,89.0,81.0,65.0,East
17/07/2023,92.0,84.0,73.0,East
18/07/2023,98.0,89.0,80.0,East
19/07/2023,96.0,89.0,81.0,East
20/07/2023,99.0,93.0,85.0,East
21/07/2023,94.0,87.0,75.0,East
22/07/2023,92.0,84.0,64.0,East
23/07/2023,89.0,83.0,74.0,East
24/07/2023,90.0,79.0,54.0,East
25/07/2023,88.0,77.0,60.0,East
26/07/2023,89.0,81.0,67.0,East
27/07/2023,90.0,81.0,68.0,East
28/07/2023,89.0,82.0,71.0,East
29/07/2023,88.0,80.0,69.0,East
30/07/2023,85.0,77.0,62.0,East
31/07/2023,82.0,77.0,66.0,East
01/08/2023,87.0,79.0,67.0,East
02/08/2023,89.0,80.0,63.0,East
03/08/2023,91.0,88.0,77.0,East
04/08/2023,93.0,83.0,66.0,East
05/08/2023,92.0,83.0,68.0,East
06/08/2023,88.0,77.0,57.0,East
07/08/2023,88.0,79.0,62.0,East
08/08/2023,95.0,84.0,72.0,East
09/08/2023,89.0,80.0,66.0,East
10/08/2023,86.0,79.0,69.0,East
11/08/2023,89.0,79.0,60.0,East
12/08/2023,85.0,80.0,71.0,East
13/08/2023,97.0,83.0,74.0,East
14/08/2023,98.0,87.0,71.0,East
15/08/2023,94.0,85.0,70.0,East
16/08/2023,89.0,84.0,70.0,East
17/08/2023,90.0,84.0,72.0,East
18/08/2023,94.0,87.0,80.0,East
19/08/2023,92.0,87.0,74.0,East
20/08/2023,89.0,82.0,67.0,East
21/08/2023,98.0,88.0,75.0,East
22/08/2023,94.0,82.0,67.0,East
23/08/2023,88.0,79.0,57.0,East
24/08/2023,87.0,81.0,65.0,East
25/08/2023,89.0,83.0,68.0,East
26/08/2023,93.0,85.0,74.0,East
27/08/2023,93.0,84.0,63.0,East
28/08/2023,89.0,84.0,73.0,East
29/08/2023,89.0,82.0,62.0,East
30/08/2023,89.0,81.0,67.0,East
31/08/2023,87.0,79.0,64.0,East
